Month,Henry Hub Natural Gas Spot Price Dollars per Million Btu
Jun-18,2.97
May-18,2.80
Apr-18,2.80
Mar-18,2.69
Feb-18,2.67
Jan-18,3.87
Dec-17,2.82
Nov-17,3.01
Oct-17,2.88
Sep-17,2.98
Aug-17,2.90
Jul-17,2.98
Jun-17,2.98
May-17,3.15
Apr-17,3.10
Mar-17,2.88
Feb-17,2.85
Jan-17,3.30
Dec-16,3.59
Nov-16,2.55
Oct-16,2.98
Sep-16,2.99
Aug-16,2.82
Jul-16,2.82
Jun-16,2.59
May-16,1.92
Apr-16,1.92
Mar-16,1.73
Feb-16,1.99
Jan-16,2.28
Dec-15,1.93
Nov-15,2.09
Oct-15,2.34
Sep-15,2.66
Aug-15,2.77
Jul-15,2.84
Jun-15,2.78
May-15,2.85
Apr-15,2.61
Mar-15,2.83
Feb-15,2.87
Jan-15,2.99
Dec-14,3.48
Nov-14,4.12
Oct-14,3.78
Sep-14,3.92
Aug-14,3.91
Jul-14,4.05
Jun-14,4.59
May-14,4.58
Apr-14,4.66
Mar-14,4.90
Feb-14,6.00
Jan-14,4.71
Dec-13,4.24
Nov-13,3.64
Oct-13,3.68
Sep-13,3.62
Aug-13,3.43
Jul-13,3.62
Jun-13,3.83
May-13,4.04
Apr-13,4.17
Mar-13,3.81
Feb-13,3.33
Jan-13,3.33
Dec-12,3.34
Nov-12,3.54
Oct-12,3.32
Sep-12,2.85
Aug-12,2.84
Jul-12,2.95
Jun-12,2.46
May-12,2.43
Apr-12,1.95
Mar-12,2.17
Feb-12,2.51
Jan-12,2.67
Dec-11,3.17
Nov-11,3.24
Oct-11,3.57
Sep-11,3.90
Aug-11,4.06
Jul-11,4.42
Jun-11,4.54
May-11,4.31
Apr-11,4.24
Mar-11,3.97
Feb-11,4.09
Jan-11,4.49
Dec-10,4.25
Nov-10,3.71
Oct-10,3.43
Sep-10,3.89
Aug-10,4.32
Jul-10,4.63
Jun-10,4.80
May-10,4.14
Apr-10,4.03
Mar-10,4.29
Feb-10,5.32
Jan-10,5.83
Dec-09,5.35
Nov-09,3.66
Oct-09,4.01
Sep-09,2.99
Aug-09,3.14
Jul-09,3.38
Jun-09,3.80
May-09,3.83
Apr-09,3.50
Mar-09,3.96
Feb-09,4.52
Jan-09,5.24
Dec-08,5.82
Nov-08,6.68
Oct-08,6.74
Sep-08,7.67
Aug-08,8.26
Jul-08,11.09
Jun-08,12.69
May-08,11.27
Apr-08,10.18
Mar-08,9.41
Feb-08,8.54
Jan-08,7.99
Dec-07,7.11
Nov-07,7.10
Oct-07,6.74
Sep-07,6.08
Aug-07,6.22
Jul-07,6.22
Jun-07,7.35
May-07,7.64
Apr-07,7.60
Mar-07,7.11
Feb-07,8.00
Jan-07,6.55
Dec-06,6.73
Nov-06,7.41
Oct-06,5.85
Sep-06,4.90
Aug-06,7.14
Jul-06,6.17
Jun-06,6.21
May-06,6.25
Apr-06,7.16
Mar-06,6.89
Feb-06,7.54
Jan-06,8.69
Dec-05,13.05
Nov-05,10.30
Oct-05,13.42
Sep-05,11.75
Aug-05,9.53
Jul-05,7.63
Jun-05,7.18
May-05,6.47
Apr-05,7.16
Mar-05,6.96
Feb-05,6.14
Jan-05,6.15
Dec-04,6.58
Nov-04,6.17
Oct-04,6.35
Sep-04,5.15
Aug-04,5.41
Jul-04,5.93
Jun-04,6.27
May-04,6.33
Apr-04,5.71
Mar-04,5.39
Feb-04,5.37
Jan-04,6.14
Dec-03,6.13
Nov-03,4.47
Oct-03,4.63
Sep-03,4.62
Aug-03,4.99
Jul-03,5.03
Jun-03,5.82
May-03,5.81
Apr-03,5.26
Mar-03,5.93
Feb-03,7.71
Jan-03,5.43
Dec-02,4.74
Nov-02,4.04
Oct-02,4.13
Sep-02,3.55
Aug-02,3.09
Jul-02,2.99
Jun-02,3.26
May-02,3.50
Apr-02,3.43
Mar-02,3.03
Feb-02,2.32
Jan-02,2.32
Dec-01,2.30
Nov-01,2.34
Oct-01,2.46
Sep-01,2.19
Aug-01,2.97
Jul-01,3.11
Jun-01,3.72
May-01,4.19
Apr-01,5.19
Mar-01,5.23
Feb-01,5.61
Jan-01,8.17
Dec-00,8.90
Nov-00,5.52
Oct-00,5.02
Sep-00,5.06
Aug-00,4.43
Jul-00,3.99
Jun-00,4.29
May-00,3.59
Apr-00,3.04
Mar-00,2.79
Feb-00,2.66
Jan-00,2.42
Dec-99,2.36
Nov-99,2.37
Oct-99,2.73
Sep-99,2.55
Aug-99,2.80
Jul-99,2.31
Jun-99,2.30
May-99,2.26
Apr-99,2.15
Mar-99,1.79
Feb-99,1.77
Jan-99,1.85
Dec-98,1.72
Nov-98,2.12
Oct-98,1.91
Sep-98,2.02
Aug-98,1.85
Jul-98,2.17
Jun-98,2.17
May-98,2.14
Apr-98,2.43
Mar-98,2.24
Feb-98,2.23
Jan-98,2.09
Dec-97,2.35
Nov-97,3.01
Oct-97,3.07
Sep-97,2.88
Aug-97,2.49
Jul-97,2.19
Jun-97,2.20
May-97,2.25
Apr-97,2.03
Mar-97,1.89
Feb-97,2.15
Jan-97,"3.45	"
"	",
