,AL Date COW,AL Data COW,AK Date COW,AK Data COW,AZ Date COW,AZ Data COW,AR Date COW,AR Data COW,CA Date COW,CA Data COW,CO Date COW,CO Data COW,CT Date COW,CT Data COW,DC Date COW,DC Data COW,DE Date COW,DE Data COW,FL Date COW,FL Data COW,GA Date COW,GA Data COW,HI Date COW,HI Data COW,ID Date COW,ID Data COW,IL Date COW,IL Data COW,IN Date COW,IN Data COW,IA Date COW,IA Data COW,KS Date COW,KS Data COW,KY Date COW,KY Data COW,LA Date COW,LA Data COW,ME Date COW,ME Data COW,MD Date COW,MD Data COW,MA Date COW,MA Data COW,MI Date COW,MI Data COW,MN Date COW,MN Data COW,MS Date COW,MS Data COW,MO Date COW,MO Data COW,MT Date COW,MT Data COW,NE Date COW,NE Data COW,NV Date COW,NV Data COW,NH Date COW,NH Data COW,NJ Date COW,NJ Data COW,NM Date COW,NM Data COW,NY Date COW,NY Data COW,NC Date COW,NC Data COW,ND Date COW,ND Data COW,OH Date COW,OH Data COW,OK Date COW,OK Data COW,OR Date COW,OR Data COW,PA Date COW,PA Data COW,RI Date COW,RI Data COW,SC Date COW,SC Data COW,SD Date COW,SD Data COW,TN Date COW,TN Data COW,TX Date COW,TX Data COW,UT Date COW,UT Data COW,VT Date COW,VT Data COW,VA Date COW,VA Data COW,WA Date COW,WA Data COW,WV Date COW,WV Data COW,WI Date COW,WI Data COW,WY Date COW,WY Data COW,TOTAL
0,201805,2533.5836,201805,0.0,201805,2141.49741,201805,2075.04672,201805,24.35965,201805,1764.821,201805,-2.0945,0.0,0.0,201805,6.35208,201805,2566.92925,201805,2286.00518,201805,81.80571,201805,0.0,201805,4564.75389,201805,5507.82069,201805,2335.58309,201805,1685.04495,201805,4704.62324,201805,883.78788,201805,4.90588,201805,1146.81718,201805,0.0,201805,3118.91122,201805,1638.54904,201805,563.99839,201805,4984.01039,201805,628.61967,201805,1696.4115,201805,99.98539,201805,1.54656,201805,54.44556,201805,872.15165,201805,1.64063,201805,2649.8275,201805,1865.02665,201805,3937.17816,201805,1031.78729,201805,0.0,201805,3165.6051,0.0,0.0,201805,1625.29909,201805,241.13239,201805,1735.66588,201805,9026.86824,201805,1672.70118,0.0,0.0,201805,790.56863,201805,0.71048,201805,4914.57973,201805,2306.50766,201805,2416.26224,85351.63312
1,201804,2213.29333,201804,0.0,201804,1873.38827,201804,1808.13658,201804,21.83086,201804,1766.28019,201804,45.43133,0.0,0.0,201804,0.0,201804,1973.44787,201804,1485.56978,201804,107.84632,201804,0.0,201804,3679.11488,201804,5789.93817,201804,1801.95694,201804,1320.94464,201804,3680.72464,201804,343.61778,201804,5.45803,201804,727.00462,201804,0.0,201804,2804.60114,201804,1416.0656,201804,222.4747,201804,4392.81457,201804,820.65696,201804,1570.17492,201804,15.08839,201804,84.2328,201804,98.43242,201804,802.77705,201804,0.0,201804,1774.49964,201804,2340.4688,201804,3727.99237,201804,767.81684,201804,0.0,201804,3576.78016,0.0,0.0,201804,1106.03206,201804,107.17214,201804,1245.4121,201804,7127.05019,201804,1294.90532,0.0,0.0,201804,711.13624,201804,2.87723,201804,3947.89891,201804,2334.77824,201804,2509.31276,73445.43578
2,201803,2316.42705,201803,53.6005,201803,2327.43591,201803,1365.05849,201803,23.48162,201803,1974.65485,201803,-2.70302,0.0,0.0,201803,-3.24726,201803,1514.54019,201803,1705.63626,201803,116.55092,201803,0.0,201803,5091.05175,201803,6209.19036,201803,1529.40881,201803,1165.8677,201803,3613.42407,201803,506.8159,201803,6.28873,201803,1280.32931,201803,0.0,201803,2941.72767,201803,1720.37647,201803,175.751,201803,4462.04039,201803,1370.78099,201803,1874.4865,201803,94.67335,201803,37.86628,201803,87.83446,201803,839.32395,201803,123.58762,201803,2413.50606,201803,2363.748,201803,5497.4915,201803,934.41422,201803,0.0,201803,3496.60136,0.0,0.0,201803,1218.6093,201803,238.65889,201803,1159.74236,201803,6260.39246,201803,1732.41953,0.0,0.0,201803,818.03448,201803,1.83026,201803,4322.11087,201803,2473.58506,201803,3234.67715,80688.08232
3,201802,2332.53436,201802,47.88261,201802,2368.00535,201802,1762.33213,201802,24.42395,201802,2014.78768,201802,21.75603,0.0,0.0,201802,2.56234,201802,1756.22719,201802,1505.68297,201802,108.62115,201802,0.0,201802,4827.9974,201802,5181.78311,201802,2136.03043,201802,1651.65877,201802,3956.82681,201802,796.82647,201802,8.67232,201802,550.66564,201802,0.0,201802,3419.62435,201802,1891.54478,201802,255.35094,201802,5251.7649,201802,1180.77206,201802,1802.74636,201802,69.79907,201802,85.86812,201802,84.12616,201802,530.93814,201802,13.99128,201802,1385.60685,201802,2199.68011,201802,5094.65182,201802,1221.81582,201802,0.0,201802,3461.25925,0.0,0.0,201802,1141.3276,201802,241.75052,201802,1508.01795,201802,7107.52952,201802,1882.98421,0.0,0.0,201802,442.74307,201802,63.94418,201802,4884.04253,201802,2716.06509,201802,3055.35778,82048.57917000001
4,201801,3770.29499,201801,0.0,201801,2770.02304,201801,2927.05941,201801,26.83498,201801,2254.04014,201801,165.60166,0.0,0.0,201801,82.95359,201801,3340.65914,201801,3761.36161,201801,118.22732,201801,0.0,201801,5882.72633,201801,8142.95489,201801,2415.72994,201801,1797.68113,201801,5584.14173,201801,1291.85097,201801,11.14694,201801,1600.57993,201801,0.0,201801,4009.55318,201801,2405.44647,201801,559.36977,201801,6122.61027,201801,1483.78834,201801,1949.30654,201801,79.64438,201801,237.60593,201801,203.09536,201801,796.99721,201801,246.35346,201801,4837.87379,201801,2587.5002,201801,6316.39646,201801,1778.11504,201801,0.0,201801,5155.97914,0.0,0.0,201801,2019.08868,201801,259.066,201801,3167.56689,201801,10423.24805,201801,2263.89258,0.0,0.0,201801,1453.42407,201801,657.76933,201801,6711.71158,201801,3288.4344,201801,3680.23433,118637.93918999999
5,201712,2749.49032,201712,0.0,201712,2467.56501,201712,2585.22895,201712,27.34439,201712,2473.61607,201712,103.92537,0.0,0.0,201712,62.906,201712,2444.71535,201712,2499.96993,201712,116.10977,201712,0.0,201712,5134.88754,201712,7137.61111,201712,2061.05792,201712,1905.70936,201712,4687.13616,201712,1050.90498,201712,7.98193,201712,913.68595,201712,0.0,201712,3062.7553,201712,2264.21562,201712,302.79799,201712,5937.26154,201712,1499.7059,201712,1859.1772,201712,73.56571,201712,109.21247,201712,128.74331,201712,1199.44778,201712,114.79283,201712,2875.94467,201712,2378.7818,201712,6070.44485,201712,1216.76927,201712,39.77137,201712,5475.81214,0.0,0.0,201712,1458.62014,201712,224.50304,201712,2940.21315,201712,11467.95333,201712,2503.24609,0.0,0.0,201712,832.72188,201712,851.90981,201712,6185.0123,201712,3432.93158,201712,3587.74023,106523.89740999999
6,201711,2071.07131,201711,0.0,201711,2750.83372,201711,2050.15449,201711,25.51313,201711,2389.13745,201711,-0.98775,0.0,0.0,201711,35.09804,201711,2392.0832,201711,1848.66252,201711,119.05087,201711,0.0,201711,5067.57655,201711,5530.87253,201711,1805.42458,201711,1374.68238,201711,4060.59433,201711,787.73471,201711,5.96639,201711,586.39041,201711,0.0,201711,3099.88389,201711,2312.40438,201711,406.04727,201711,4975.64419,201711,1427.77005,201711,1714.45212,201711,89.08892,201711,10.61937,201711,88.23803,201711,1480.61624,201711,43.81827,201711,1750.72069,201711,2306.57665,201711,4791.16081,201711,1315.8269,201711,0.0,201711,3809.97993,0.0,0.0,201711,1045.2198,201711,201.28407,201711,1550.22549,201711,10945.62154,201711,2414.72899,0.0,0.0,201711,632.27809,201711,814.01302,201711,4685.58308,201711,3115.16705,201711,3173.04531,91099.87301000002
7,201710,2456.97774,201710,0.0,201710,2683.50994,201710,1755.42072,201710,25.8342,201710,2234.39471,201710,-1.14641,0.0,0.0,201710,2.05969,201710,3321.97912,201710,2543.3322,201710,119.41944,201710,0.0,201710,4452.44507,201710,5994.80815,201710,1376.82376,201710,1229.77803,201710,4339.0627,201710,803.34367,201710,7.27148,201710,607.27767,201710,0.0,201710,2943.68886,201710,1830.79094,201710,355.04774,201710,5161.14087,201710,1178.70424,201710,1527.51064,201710,57.27239,201710,0.99264,201710,89.0254,201710,1416.28249,201710,11.12313,201710,2061.81161,201710,2288.77655,201710,4330.91012,201710,1397.15938,201710,182.53735,201710,2803.63149,0.0,0.0,201710,1046.21942,201710,75.39575,201710,1843.69394,201710,10514.22523,201710,2501.54365,0.0,0.0,201710,470.92312,201710,761.10101,201710,5024.12874,201710,2927.48769,201710,3281.22925,90034.94552000001
8,201709,2165.63865,201709,0.0,201709,2896.56542,201709,2447.75478,201709,25.57583,201709,2381.64103,201709,2.71902,0.0,0.0,201709,36.50925,201709,2795.84748,201709,2975.08542,201709,126.24942,201709,0.0,201709,4845.91972,201709,5182.5183,201709,2151.95857,201709,1787.5734,201709,4034.85012,201709,1147.89827,201709,5.30303,201709,914.94191,201709,0.0,201709,3073.57013,201709,1880.90632,201709,298.98544,201709,5113.47557,201709,1314.9576,201709,1842.33216,201709,205.60003,201709,2.15949,201709,100.03001,201709,1317.30899,201709,57.16885,201709,2549.2875,201709,2361.82649,201709,5510.74762,201709,1970.60855,201709,348.22821,201709,2992.66718,0.0,0.0,201709,1366.98955,201709,175.52658,201709,2295.70937,201709,12353.52374,201709,2368.10092,0.0,0.0,201709,425.42472,201709,862.10583,201709,5289.51597,201709,2790.6884,201709,3561.86343,98353.85827000001
9,201708,3222.13812,201708,0.0,201708,3156.26552,201708,3010.13045,201708,24.78714,201708,2601.68922,201708,-1.28766,0.0,0.0,201708,22.13161,201708,3472.89246,201708,3505.14529,201708,129.69643,201708,0.0,201708,5120.65371,201708,6977.79385,201708,2926.35164,201708,2135.19304,201708,5633.66595,201708,1065.84007,201708,5.56396,201708,857.77292,201708,0.0,201708,3664.67753,201708,2248.4645,201708,426.1666,201708,6424.29097,201708,1571.88392,201708,2322.30307,201708,302.61725,201708,0.37809,201708,102.05669,201708,2108.61224,201708,25.30041,201708,4354.51339,201708,2453.25305,201708,6217.53758,201708,1929.7177,201708,331.84906,201708,4134.51094,0.0,0.0,201708,1965.20758,201708,182.7181,201708,3091.58335,201708,13405.76567,201708,2547.3104,0.0,0.0,201708,1290.65048,201708,890.35774,201708,6489.63794,201708,3216.62383,201708,4159.47253,119723.88433000002
