,IL Date COW,IL Data COW,IL Date NG,IL Data NG,IL Date WND,IL Data WND,IL Date SUN,IL Data SUN,IL Date HYC,IL Data HYC,IL Date NUC,IL Data NUC,IL Date GEO,IL Data GEO,OH Date COW,OH Data COW,OH Date NG,OH Data NG,OH Date WND,OH Data WND,OH Date SUN,OH Data SUN,OH Date HYC,OH Data HYC,OH Date NUC,OH Data NUC,OH Date GEO,OH Data GEO,CA Date COW,CA Data COW,CA Date NG,CA Data NG,CA Date WND,CA Data WND,CA Date SUN,CA Data SUN,CA Date HYC,CA Data HYC,CA Date NUC,CA Data NUC,CA Date GEO,CA Data GEO,AL Date COW,AL Data COW,AL Date NG,AL Data NG,AL Date WND,AL Data WND,AL Date SUN,AL Data SUN,AL Date HYC,AL Data HYC,AL Date NUC,AL Data NUC,AL Date GEO,AL Data GEO,NY Date COW,NY Data COW,NY Date NG,NY Data NG,NY Date WND,NY Data WND,NY Date SUN,NY Data SUN,NY Date HYC,NY Data HYC,NY Date NUC,NY Data NUC,NY Date GEO,NY Data GEO,AZ Date COW,AZ Data COW,AZ Date NG,AZ Data NG,AZ Date WND,AZ Data WND,AZ Date SUN,AZ Data SUN,AZ Date HYC,AZ Data HYC,AZ Date NUC,AZ Data NUC,AZ Date GEO,AZ Data GEO,WA Date COW,WA Data COW,WA Date NG,WA Data NG,WA Date WND,WA Data WND,WA Date SUN,WA Data SUN,WA Date HYC,WA Data HYC,WA Date NUC,WA Data NUC,WA Date GEO,WA Data GEO,MA Date COW,MA Data COW,MA Date NG,MA Data NG,MA Date WND,MA Data WND,MA Date SUN,MA Data SUN,MA Date HYC,MA Data HYC,MA Date NUC,MA Data NUC,MA Date GEO,MA Data GEO,FL Date COW,FL Data COW,FL Date NG,FL Data NG,FL Date WND,FL Data WND,FL Date SUN,FL Data SUN,FL Date HYC,FL Data HYC,FL Date NUC,FL Data NUC,FL Date GEO,FL Data GEO,TX Date COW,TX Data COW,TX Date NG,TX Data NG,TX Date WND,TX Data WND,TX Date SUN,TX Data SUN,TX Date HYC,TX Data HYC,TX Date NUC,TX Data NUC,TX Date GEO,TX Data GEO
0,201805,4564.75389,201805,1344.57367,201805,898.01182,201805,6.56142,201805,14.20021,201805,8083.061,201805,0.0,201805,3937.17816,201805,3027.65046,201805,133.2738,201805,16.29668,201805,51.03229,201805,1611.201,201805,0.0,201805,24.35965,201805,4515.09957,201805,1530.62334,201805,2925.45674,201805,3134.06993,201805,1682.785,201805,1018.35403,201805,2533.5836,201805,5297.3164,201805,0.0,201805,39.46683,201805,821.082,201805,3260.283,201805,0.0,201805,1.64063,201805,3850.66759,201805,360.28115,201805,33.67464,201805,2597.37724,201805,3417.861,201805,0.0,201805,2141.49741,201805,2643.70187,201805,61.93701,201805,597.41982,201805,643.37188,201805,2630.253,201805,0.0,201805,0.71048,201805,431.2547,201805,573.93383,201805,0.076,201805,9527.62202,201805,602.753,201805,0.0,201805,0.0,201805,1139.003,201805,18.11533,201805,143.08303,201805,78.88656,201805,443.221,201805,0.0,201805,2566.92925,201805,14189.22853,201805,0.0,201805,216.78845,201805,18.32905,201805,2734.349,201805,0.0,201805,9026.86824,201805,20660.97862,201805,7330.04157,201805,317.52964,201805,156.11103,201805,3756.916,201805,0.0
1,201804,3679.11488,201804,1164.79127,201804,1124.60186,201804,5.60222,201804,12.41685,201804,7658.023,201804,0.0,201804,3727.99237,201804,3225.3625,201804,149.62372,201804,14.22678,201804,50.09758,201804,1578.502,201804,0.0,201804,21.83086,201804,4867.29718,201804,1504.70026,201804,2439.09461,201804,3194.39082,201804,1546.437,201804,867.08548,201804,2213.29333,201804,4592.24699,201804,0.0,201804,36.91625,201804,923.85208,201804,2874.03,201804,0.0,201804,0.0,201804,3575.27609,201804,397.86884,201804,30.0059,201804,2482.93474,201804,2864.765,201804,0.0,201804,1873.38827,201804,2242.49837,201804,62.89867,201804,481.3845,201804,638.213,201804,1962.606,201804,0.0,201804,2.87723,201804,552.90875,201804,758.09836,201804,0.078,201804,7870.63714,201804,822.479,201804,0.0,201804,0.0,201804,1148.64275,201804,22.42244,201804,125.93866,201804,80.67221,201804,114.483,201804,0.0,201804,1973.44787,201804,13156.92711,201804,0.0,201804,237.38282,201804,0.0,201804,2316.254,201804,0.0,201804,7127.05019,201804,15420.20277,201804,7503.7637,201804,256.39941,201804,166.09799,201804,2791.38,201804,0.0
2,201803,5091.05175,201803,994.37265,201803,1237.48065,201803,5.21449,201803,11.07247,201803,7971.653,201803,0.0,201803,5497.4915,201803,3249.50042,201803,181.48095,201803,11.63383,201803,50.16365,201803,1062.139,201803,0.0,201803,23.48162,201803,6510.02112,201803,1427.3513,201803,2003.18275,201803,1829.58671,201803,1046.927,201803,994.12343,201803,2316.42705,201803,4065.33598,201803,0.0,201803,31.76616,201803,885.47895,201803,2731.979,201803,0.0,201803,123.58762,201803,3343.97665,201803,381.6178,201803,25.21865,201803,2661.21625,201803,3572.576,201803,0.0,201803,2327.43591,201803,1495.0394,201803,59.10215,201803,400.15573,201803,686.34356,201803,2977.426,201803,0.0,201803,1.83026,201803,737.06943,201803,779.52358,201803,0.027,201803,7667.14617,201803,866.437,201803,0.0,201803,0.0,201803,1682.72618,201803,23.67221,201803,101.36408,201803,75.79315,201803,82.968,201803,0.0,201803,1514.54019,201803,12231.51361,201803,0.0,201803,239.16271,201803,17.7266,201803,2261.786,201803,0.0,201803,6260.39246,201803,15960.62601,201803,7376.65982,201803,239.50753,201803,142.93954,201803,3537.669,201803,0.0
3,201802,4827.9974,201802,523.83688,201802,1191.04585,201802,2.94799,201802,9.90194,201802,7637.467,201802,0.0,201802,5094.65182,201802,2961.80912,201802,160.14423,201802,9.50649,201802,45.49141,201802,1436.544,201802,0.0,201802,24.42395,201802,6192.78736,201802,1122.29073,201802,1670.5763,201802,1173.88408,201802,982.658,201802,932.29645,201802,2332.53436,201802,3472.60405,201802,0.0,201802,21.30872,201802,856.24071,201802,2796.231,201802,0.0,201802,13.99128,201802,2912.70505,201802,459.03038,201802,18.32047,201802,2268.4298,201802,3317.629,201802,0.0,201802,2368.00535,201802,1423.02429,201802,44.75971,201802,318.14042,201802,593.61276,201802,2556.051,201802,0.0,201802,63.94418,201802,505.15366,201802,835.24121,201802,0.004,201802,8381.31734,201802,787.939,201802,0.0,201802,0.0,201802,1557.36147,201802,22.455,201802,78.87778,201802,72.44918,201802,455.535,201802,0.0,201802,1756.22719,201802,11241.70797,201802,0.0,201802,167.80207,201802,16.58558,201802,2483.175,201802,0.0,201802,7107.52952,201802,15995.57424,201802,6122.59789,201802,188.9039,201802,146.7267,201802,3432.375,201802,0.0
4,201801,5882.72633,201801,1325.73441,201801,1372.3963,201801,3.07225,201801,10.63538,201801,8852.297,201801,0.0,201801,6316.39646,201801,3669.82654,201801,216.3277,201801,6.98574,201801,42.39364,201801,1630.43,201801,0.0,201801,26.83498,201801,7043.15544,201801,1138.85773,201801,1284.64331,201801,1590.23645,201801,1666.162,201801,982.38175,201801,3770.29499,201801,4694.1657,201801,0.0,201801,20.12109,201801,644.99603,201801,3760.56,201801,0.0,201801,246.35346,201801,3584.96127,201801,389.56383,201801,14.65753,201801,2251.2208,201801,4029.659,201801,0.0,201801,2770.02304,201801,1540.14226,201801,46.64646,201801,266.58361,201801,577.77857,201801,2984.031,201801,0.0,201801,657.76933,201801,786.89438,201801,771.39867,201801,0.002,201801,8206.68122,201801,862.328,201801,0.0,201801,0.0,201801,1672.03484,201801,22.64034,201801,61.08108,201801,63.36233,201801,393.142,201801,0.0,201801,3340.65914,201801,12246.58686,201801,0.0,201801,115.13907,201801,14.88542,201801,2771.867,201801,0.0,201801,10423.24805,201801,18002.89128,201801,6729.31952,201801,180.4403,201801,118.58599,201801,3808.514,201801,0.0
5,201712,5134.88754,201712,1079.63297,201712,1125.30959,201712,3.01374,201712,10.21462,201712,8700.257,201712,0.0,201712,6070.44485,201712,2968.31578,201712,171.55394,201712,6.33746,201712,44.92297,201712,1625.126,201712,0.0,201712,27.34439,201712,7694.28142,201712,909.19116,201712,1261.66675,201712,1857.171,201712,1681.157,201712,996.14566,201712,2749.49032,201712,4114.92727,201712,0.0,201712,16.53243,201712,665.94283,201712,3860.262,201712,0.0,201712,114.79283,201712,3772.91652,201712,286.05632,201712,13.23815,201712,2525.0449,201712,3659.536,201712,0.0,201712,2467.56501,201712,2080.07431,201712,35.45321,201712,243.11656,201712,488.89992,201712,2984.262,201712,0.0,201712,851.90981,201712,985.36455,201712,585.64663,201712,0.013,201712,6619.16,201712,867.003,201712,0.0,201712,0.0,201712,1747.45364,201712,18.9749,201712,59.0572,201712,61.88459,201712,505.927,201712,0.0,201712,2444.71535,201712,11294.10831,201712,0.0,201712,114.87131,201712,15.09287,201712,2755.125,201712,0.0,201712,11467.95333,201712,16344.02274,201712,5492.50743,201712,147.87881,201712,105.13783,201712,3789.936,201712,0.0
6,201711,5067.57655,201711,824.86167,201711,1107.4907,201711,3.01965,201711,11.67499,201711,8193.554,201711,0.0,201711,4791.16081,201711,2732.04752,201711,156.96814,201711,7.0047,201711,47.1538,201711,1577.949,201711,0.0,201711,25.51313,201711,7255.63612,201711,1038.3109,201711,1275.9896,201711,1789.17156,201711,1628.939,201711,963.25083,201711,2071.07131,201711,4249.52246,201711,0.0,201711,11.83784,201711,777.99428,201711,3370.618,201711,0.0,201711,43.81827,201711,3254.15431,201711,362.46803,201711,12.92611,201711,2524.14773,201711,3688.526,201711,0.0,201711,2750.83372,201711,1678.58797,201711,43.34262,201711,258.56802,201711,487.13084,201711,2633.429,201711,0.0,201711,814.01302,201711,795.63627,201711,718.63545,201711,0.024,201711,4986.50293,201711,841.597,201711,0.0,201711,0.0,201711,1268.49169,201711,20.85643,201711,62.8186,201711,67.98408,201711,488.578,201711,0.0,201711,2392.0832,201711,11043.72039,201711,0.0,201711,96.12232,201711,16.3357,201711,2432.776,201711,0.0,201711,10945.62154,201711,13498.24924,201711,5859.48805,201711,140.38222,201711,124.36954,201711,3293.498,201711,0.0
7,201710,4452.44507,201710,1316.50986,201710,1125.47676,201710,4.13963,201710,9.43372,201710,8031.727,201710,0.0,201710,4330.91012,201710,2187.17211,201710,142.60302,201710,11.83117,201710,40.38038,201710,1612.428,201710,0.0,201710,25.8342,201710,8376.68773,201710,1161.08795,201710,2059.14463,201710,2036.99979,201710,1683.557,201710,900.73803,201710,2456.97774,201710,4183.24618,201710,0.0,201710,18.16547,201710,614.36499,201710,3453.774,201710,0.0,201710,11.12313,201710,3743.52118,201710,413.78282,201710,18.76025,201710,2260.61604,201710,3981.52,201710,0.0,201710,2683.50994,201710,2880.41958,201710,47.14014,201710,425.85072,201710,455.94723,201710,2162.542,201710,0.0,201710,761.10101,201710,1008.73168,201710,783.33999,201710,0.066,201710,4215.24106,201710,858.052,201710,0.0,201710,0.0,201710,1574.09976,201710,22.58097,201710,104.89144,201710,56.22072,201710,490.22,201710,0.0,201710,3321.97912,201710,14336.24994,201710,0.0,201710,70.6563,201710,13.69327,201710,2069.475,201710,0.0,201710,10514.22523,201710,16248.73452,201710,6134.68003,201710,200.99838,201710,98.58289,201710,3047.294,201710,0.0
8,201709,4845.91972,201709,1316.33037,201709,603.02808,201709,6.01997,201709,9.36853,201709,8208.777,201709,0.0,201709,5510.74762,201709,2427.6957,201709,70.53418,201709,12.91628,201709,40.19503,201709,1552.197,201709,0.0,201709,25.57583,201709,8998.54055,201709,984.77718,201709,2234.04997,201709,2871.66988,201709,1623.061,201709,971.82577,201709,2165.63865,201709,4791.72291,201709,0.0,201709,19.65764,201709,587.36893,201709,3661.948,201709,0.0,201709,57.16885,201709,4463.10913,201709,200.56042,201709,21.60462,201709,2267.64304,201709,3712.697,201709,0.0,201709,2896.56542,201709,3352.39436,201709,39.1295,201709,458.74066,201709,511.53947,201709,2852.833,201709,0.0,201709,862.10583,201709,922.35243,201709,460.49764,201709,0.067,201709,4688.42,201709,735.65,201709,0.0,201709,0.0,201709,1745.85982,201709,13.67961,201709,113.01791,201709,56.75471,201709,476.799,201709,0.0,201709,2795.84748,201709,15008.8225,201709,0.0,201709,75.77849,201709,13.80689,201709,2354.637,201709,0.0,201709,12353.52374,201709,18148.77204,201709,4817.33691,201709,196.73536,201709,103.88594,201709,3503.722,201709,0.0
9,201708,5120.65371,201708,1264.82721,201708,481.38897,201708,5.93352,201708,11.44696,201708,8516.908,201708,0.0,201708,6217.53758,201708,2716.09332,201708,56.15367,201708,13.55347,201708,45.06833,201708,1595.339,201708,0.0,201708,24.78714,201708,11070.20528,201708,992.87168,201708,2346.4187,201708,3919.99176,201708,1682.881,201708,993.6637,201708,3222.13812,201708,5565.36294,201708,0.0,201708,21.17637,201708,670.33802,201708,3674.117,201708,0.0,201708,25.30041,201708,5219.71673,201708,236.30101,201708,23.32384,201708,2484.73444,201708,3768.161,201708,0.0,201708,3156.26552,201708,4170.96438,201708,43.04546,201708,460.65286,201708,621.98459,201708,2934.537,201708,0.0,201708,890.35774,201708,1277.08296,201708,392.17068,201708,0.088,201708,5229.88163,201708,537.019,201708,0.0,201708,0.0,201708,2278.64697,201708,0.0,201708,115.34659,201708,63.39268,201708,494.508,201708,0.0,201708,3472.89246,201708,17261.08401,201708,0.0,201708,74.38496,201708,15.43848,201708,2700.717,201708,0.0,201708,13405.76567,201708,23889.10045,201708,3729.09327,201708,221.27931,201708,113.8117,201708,3361.116,201708,0.0
10,201707,5849.74275,201707,1828.03952,201707,607.52959,201707,6.30606,201707,11.29081,201707,8612.798,201707,0.0,201707,6264.41499,201707,2862.39714,201707,66.55814,201707,14.18371,201707,47.76309,201707,1592.113,201707,0.0,201707,23.12607,201707,9633.59669,201707,995.35899,201707,2418.35148,201707,4383.90064,201707,1648.012,201707,1001.19851,201707,3651.12771,201707,5687.86964,201707,0.0,201707,22.04147,201707,745.06902,201707,3743.965,201707,0.0,201707,54.84333,201707,5571.34294,201707,307.90033,201707,24.3973,201707,2560.6291,201707,3900.765,201707,0.0,201707,3320.571,201707,4522.97348,201707,41.54083,201707,419.19695,201707,667.80938,201707,2853.442,201707,0.0,201707,486.29638,201707,1026.91508,201707,521.24217,201707,0.1,201707,7046.18997,201707,855.834,201707,0.0,201707,0.0,201707,2255.9945,201707,0.0,201707,117.51501,201707,69.54804,201707,501.875,201707,0.0,201707,3866.34532,201707,16791.41657,201707,0.0,201707,70.26861,201707,16.69545,201707,2709.211,201707,0.0,201707,13903.74796,201707,25008.06209,201707,4398.47351,201707,237.53462,201707,131.04949,201707,2821.398,201707,0.0
