Net generation for nuclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=08&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.NUC-US-99.M~ELEC.GEN.NUC-PA-99.M~ELEC.GEN.NUC-IL-99.M&columnchart=ELEC.GEN.NUC-US-99.M~ELEC.GEN.NUC-PA-99.M~ELEC.GEN.NUC-IL-99.M&map=ELEC.GEN.NUC-US-99.M&freq=M&start=200101&end=201805&ctype=linechart&ltype=sourcekey&rtype=s&maptype=0&rse=0&pin=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Aug 01 2018 21:13:56 GMT-0700 (Pacific Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,units,source key,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18
Net generation for nuclear,thousand megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,thousand megawatthours,ELEC.GEN.NUC-US-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States : all sectors,thousand megawatthours,ELEC.GEN.NUC-US-99.M,68707,61272,62141,56003,61512,68023,69166,68389,63378,60461,62342,67431,70926,61658,63041,58437,63032,66372,70421,70778,64481,60493,61520,68905,69211,60942,59933,56776,62202,64181,69653,69024,63584,60016,59600,68612,70806,64102,63285,58620,64917,67734,71975,71068,65932,62530,58941,68617,69828,60947,61539,55484,62970,66144,71070,71382,66739,61236,62913,71735,71912,62616,63721,57567,62776,68391,72186,72016,66642,57509,61392,70490,74006,65225,64305,57301,65025,68923,72739,72751,67579,61690,64899,71983,70735,65130,64716,57333,64826,70319,74318,72617,67054,62820,63408,72931,74102,64227,67241,59408,65395,69735,72949,72245,65752,58021,59069,70710,72569,65245,64635,57611,66658,68301,71913,71574,69371,62751,62655,73683,72743,64789,65662,54547,57013,65270,72345,71339,66849,63337,64474,71837,72381,63847,61729,55871,62081,65140,69129,69602,64511,59743,56713,68584,71406,61483,62947,56767,62848,66430,70539,71344,65799,63184,64975,71294,73163,62639,62397,56385,62947,68138,71940,71129,67535,62391,65140,73363,74270,63461,64547,59784,65827,68516,71412,72415,66476,60571,60264,69634,72525,65638,66149,62732,66576,67175,70349,71526,65448,60733,65179,71662,73121,63560,65093,56743,61313,67011,71314,72384,68098,65995,66618,73700,74649,64790,67033,59087,67320
United States : electric power,,ELEC.GEN.NUC-US-98.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States : electric utility,thousand megawatthours,ELEC.GEN.NUC-US-1.M,48876,43547,43477,39042,43312,47850,48447,48266,43857,41177,41415,44941,46960,40348,42230,39054,40469,42988,46101,45960,41859,39233,38577,43601,41878,37137,35618,33618,36565,38259,43247,41914,38150,35839,35285,41319,43402,38875,38192,37397,38982,40588,43818,42801,39931,35936,33917,41842,39724,34413,36007,32146,33062,36050,40035,40065,37508,33800,33967,39519,39347,34568,35328,29859,31917,36757,39705,39758,36747,31856,32015,37484,39514,34700,35547,31069,33625,36342,39368,39005,35750,31687,33202,37745,38151,34653,33988,31410,32746,37034,40097,38454,34936,32658,31811,38318,39454,33754,34856,31064,33796,36633,39076,38084,34002,30109,29344,37103,39345,34945,33460,30946,34506,35835,38536,38021,37188,31226,32112,38722,37742,34119,34201,28964,28502,34635,38444,37435,34639,33558,34107,38952,38270,33117,30601,27884,31384,34052,35999,36149,33384,31289,29038,33656,36748,31144,31426,28991,32977,34504,36733,37177,34459,31605,32939,37412,38847,32937,32612,30312,33760,35898,38031,37182,35296,32017,34552,38428,39377,33478,33328,31053,35089,35150,37055,38482,35034,31886,30751,35997,37974,34281,34445,34036,36531,37000,37919,37927,33919,30016,33082,37268,38425,33911,34693,30217,31728,35022,37874,38667,35496,35038,34541,38871,39366,33941,35262,30534,34479
United States : independent power producers,thousand megawatthours,ELEC.GEN.NUC-US-94.M,19831,17725,18664,16961,18200,20173,20719,20123,19521,19284,20927,22490,23966,21310,20810,19383,22564,23384,24319,24818,22622,21260,22943,25305,27333,23805,24315,23157,25637,25922,26406,27109,25434,24178,24315,27293,27404,25227,25093,21223,25935,27146,28157,28267,26001,26594,25023,26775,30104,26534,25532,23338,29909,30094,31035,31317,29231,27435,28946,32216,32564,28048,28393,27708,30859,31635,32482,32258,29895,25653,29377,33006,34492,30524,28758,26232,31400,32581,33370,33746,31829,30002,31697,34238,32583,30477,30728,25923,32080,33285,34221,34163,32118,30163,31597,34613,34648,30473,32385,28344,31599,33101,33873,34161,31749,27912,29725,33608,33224,30300,31174,26666,32152,32466,33377,33553,32183,31525,30543,34962,35000,30670,31461,25583,28511,30635,33901,33903,32210,29779,30367,32885,34111,30730,31128,27987,30697,31088,33130,33453,31126,28455,27674,34928,34658,30340,31522,27776,29871,31926,33807,34167,31340,31578,32037,33881,34316,29702,29785,26072,29187,32240,33909,33946,32238,30374,30589,34935,34893,29984,31218,28732,30737,33366,34357,33933,31442,28685,29513,33637,34551,31357,31704,28696,30046,30175,32430,33599,31529,30717,32097,34394,34695,29650,30400,26526,29585,31988,33440,33717,32602,30957,32077,34828,35283,30849,31770,28553,32841
United States : all commercial,thousand megawatthours,ELEC.GEN.NUC-US-96.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
United States : all industrial,thousand megawatthours,ELEC.GEN.NUC-US-97.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New England,thousand megawatthours,ELEC.GEN.NUC-NEW-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New England : all sectors,thousand megawatthours,ELEC.GEN.NUC-NEW-99.M,2291,2203,1939,2845,2461,3103,3197,3015,3111,3097,3037,3135,3229,2595,2554,2814,2275,3031,3184,3011,2394,2703,3147,3007,3200,2802,2807,2955,2941,3058,3238,3223,3027,1869,2408,3250,3282,3069,3066,2034,2892,3000,3152,3232,3131,3260,3126,3270,3254,2949,3168,1186,2537,3189,3246,3268,3129,2391,3053,3195,3285,2933,3244,3071,3374,3267,3375,3339,3149,1923,2550,3412,3251,3050,3223,2133,2403,3180,3319,3265,3133,3358,3300,3358,3053,3162,3394,1794,2661,3161,3252,3357,3241,2625,2455,3393,3453,3124,3460,3130,3135,3312,2966,3417,3322,2001,2397,2514,3296,3087,3454,2650,2407,3341,3430,3314,3316,3454,3185,3426,3475,3044,3444,1613,2371,3230,3420,3364,2947,1687,2473,3215,3194,3071,3254,3084,3211,3075,3226,2999,2753,1976,2824,3449,3299,2959,3077,2450,2392,3324,3426,3146,3120,3321,3269,3399,3440,3070,3454,2058,2718,3240,3336,3344,3297,2797,2766,3318,2926,2507,2999,2588,2600,2885,2984,2917,2803,1461,2233,2987,2778,2727,2826,2261,2468,2528,2976,2789,2687,2960,2892,2859,2988,2590,2971,1023,2441,2883,2972,2957,2863,2394,2460,2994,2886,2704,2570,2519,2925
