Name
Alta Wind Energy Center
Tehachapi Pass Wind Farm
San Gorgonio Pass Wind Farm
Altamont Pass Wind Farm
Ocotillo Wind Energy Facility*
Tule Wind Energy Project[22]
Shiloh Wind Power Plant
Kumeyaay Wind farm































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































