Series Name,Period,Frequency,Value,Units,Series Name,Period,Frequency,Value,Units
Average retail price of electricity : Washington : all sectors : monthly,201712,M,8.16,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201712,M,15.25,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201711,M,8.13,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201711,M,15.9,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201710,M,8,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201710,M,15.96,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201709,M,7.94,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201709,M,17.73,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201708,M,7.91,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201708,M,17.6,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201707,M,7.81,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201707,M,17.52,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201706,M,7.83,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201706,M,17.55,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201705,M,7.81,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201705,M,15.47,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201704,M,7.81,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201704,M,13.12,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201703,M,7.89,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201703,M,15.39,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201702,M,7.91,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201702,M,15.3,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201701,M,7.97,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201701,M,15.12,cents per kilowatthour
