Average retail price of electricity,cents per kilowatthour,source key,2012,2013,2014,2015,2016,2017,Average6YearRate
Connecticut,cents per kilowatthour,ELEC.PRICE.CT-ALL.A,15.54,15.66,17.05,17.77,17.24,17.62,16.81
Maine,cents per kilowatthour,ELEC.PRICE.ME-ALL.A,11.81,11.86,12.65,12.78,12.8,12.94,12.47
Massachusetts,cents per kilowatthour,ELEC.PRICE.MA-ALL.A,13.79,14.51,15.35,16.9,16.48,16.14,15.53
New Hampshire,cents per kilowatthour,ELEC.PRICE.NH-ALL.A,14.19,14.3,15.22,16.02,15.66,16.16,15.26
Rhode Island,cents per kilowatthour,ELEC.PRICE.RI-ALL.A,12.74,13.72,15.41,17.01,16.28,16.44,15.27
Vermont,cents per kilowatthour,ELEC.PRICE.VT-ALL.A,14.22,14.61,14.57,14.41,14.46,14.57,14.47
New Jersey,cents per kilowatthour,ELEC.PRICE.NJ-ALL.A,13.68,13.69,13.95,13.74,13.38,13.38,13.64
New York,cents per kilowatthour,ELEC.PRICE.NY-ALL.A,15.15,15.44,16.25,15.28,14.47,14.78,15.23
Pennsylvania,cents per kilowatthour,ELEC.PRICE.PA-ALL.A,9.91,9.81,10.28,10.31,10.19,10.16,10.11
Illinois,cents per kilowatthour,ELEC.PRICE.IL-ALL.A,8.4,8.26,9.36,9.4,9.38,9.33,9.02
Indiana,cents per kilowatthour,ELEC.PRICE.IN-ALL.A,8.29,8.73,9.06,8.99,9.22,9.61,8.98
Michigan,cents per kilowatthour,ELEC.PRICE.MI-ALL.A,10.98,11.21,11.03,10.76,11.05,11.39,11.07
Ohio,cents per kilowatthour,ELEC.PRICE.OH-ALL.A,9.12,9.2,9.73,9.98,9.84,9.71,9.6
Wisconsin,cents per kilowatthour,ELEC.PRICE.WI-ALL.A,10.28,10.51,10.57,10.73,10.67,11.05,10.64
Iowa,cents per kilowatthour,ELEC.PRICE.IA-ALL.A,7.71,8.07,8.15,8.35,8.55,8.92,8.29
