State,Rate
ME,11.15
ME,11.05
ME,10.78
ME,9.41
ME,9.21
ME,9.9
ME,11.17
ME,11.16
ME,11.37
ME,10.63
ME,9.83
ME,11
ME,9.78
ME,10.08
ME,10.95
ME,10.16
ME,9.72
ME,10.4
ME,10.48
ME,10.02
ME,10.63
ME,10.49
ME,10.78
ME,10.79
ME,9
ME,9.08
ME,10.58
ME,9.82
ME,10.21
ME,9.71
ME,9.68
ME,9.76
ME,9.35
ME,9.53
ME,10.36
ME,10.83
ME,9.54
ME,10.74
ME,10.51
ME,9.35
ME,9.37
ME,9.52
ME,9.36
ME,9.37
ME,9.26
ME,9.11
ME,9.63
ME,10.52
ME,12.07
ME,12.42
ME,10.51
ME,9.95
ME,9.94
ME,10.11
ME,9.95
ME,9.77
ME,11.16
ME,9.87
ME,11.17
ME,10.65
ME,11.88
ME,12.42
ME,11.77
ME,11.54
ME,11.74
ME,12.32
ME,11.56
ME,11.77
ME,10.92
ME,11.28
ME,11.82
ME,12.59
ME,14.36
ME,14.59
ME,15.5
ME,14.24
ME,14.35
ME,14.03
ME,14.25
ME,14.34
ME,14.47
ME,14.45
ME,14.94
ME,15.53
ME,13.92
ME,13.46
ME,13.96
ME,13.59
ME,13.44
ME,13.5
ME,14.07
ME,14.07
ME,13.58
ME,13.64
ME,13.96
ME,14.27
ME,14.6
ME,14.61
ME,13.33
ME,12.77
ME,12.45
ME,12.64
ME,12.82
ME,12.98
ME,12.47
ME,12.55
ME,12.79
ME,13.29
ME,13.41
ME,13.3
ME,12.88
ME,12.46
ME,12.45
ME,12.64
ME,12.96
ME,12.85
ME,12.46
ME,12.48
ME,12.81
ME,13.27
ME,13.52
ME,13.19
ME,12.82
ME,12.31
ME,12.45
ME,12.33
ME,12.51
ME,12.57
ME,12.14
ME,12.1
ME,12.43
ME,12.49
ME,12.61
ME,12.37
ME,11.63
ME,11.21
ME,11.56
ME,11.22
ME,11.75
ME,11.76
ME,11.63
ME,11.61
ME,11.97
ME,12.37
ME,12.4
